Agent,Language,Error Type,Count,Percentage of Failures
Claude,Java,CodeBug,4,80.0%
Claude,Java,CodeBug-Unfixable,1,20.0%
Claude,Javascript,CodeBug-Unfixable,5,35.7%
Claude,Javascript,ConfigError-Partial,5,35.7%
Claude,Python,MissingData,4,50.0%
Claude,Python,ImportError,2,25.0%
Claude,Python,MissingCredentials,1,12.5%
Claude,Python,KeyError,1,12.5%
Codex,Java,NotProcessed,8,42.1%
Codex,Java,CodeBug-Unfixable,6,31.6%
Codex,Java,CompletenessGap-Unfixable,2,10.5%
Codex,Java,CompletenessGap-Fixed,1,5.3%
Codex,Javascript,ConfigError-Partial,11,68.8%
Codex,Javascript,CodeBug-Unfixable,3,18.8%
Codex,Javascript,BuildRequired,1,6.2%
Codex,Javascript,CodeBug,1,6.2%
Codex,Python,CodeBug,3,60.0%
Codex,Python,MissingData,2,40.0%
Gemini,Java,NotProcessed,7,38.9%
Gemini,Java,CodeBug-Unfixable,3,16.7%
Gemini,Java,CodeBug-Fixed,2,11.1%
Gemini,Java,CompletenessGap-Unfixable,1,5.6%
Gemini,Javascript,RuntimeEnvRequired,3,30.0%
Gemini,Javascript,CodeBug-Unfixable,3,30.0%
Gemini,Javascript,ConfigError-Partial,2,20.0%
Gemini,Javascript,NotProcessed,1,10.0%
Gemini,Javascript,DependencyMissing,1,10.0%
