prompt_id,prompt_text,llm_name,language,project_path,script_file,requirements_file,claimed_deps,claimed_count,working_deps,working_count,runtime_deps,runtime_count,execution_success,error_type,error_message,completeness_gap,precision_gap,runtime_gap,notes
p_76,"Spring Boot CRUD API with JPA & MySQL",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_76,src/,pom.xml,"spring-boot-starter-web, spring-boot-starter-data-jpa, spring-boot-starter-validation, mysql-connector-j (no version), lombok",5,"spring-boot-starter-web, spring-boot-starter-data-jpa, spring-boot-starter-validation, mysql-connector-java:8.0.33, lombok",5,"69 total jars including Spring Boot ecosystem",69,partial,CompletenessGap-Fixed,"mysql-connector-j missing version + incorrect artifactId (should be mysql-connector-java)","Missing version for MySQL connector","","","Fixed by changing mysql-connector-j to mysql-connector-java and adding version 8.0.33 - compiled and started successfully, failed to connect to MySQL (expected external dependency)"
p_77,"Spring Boot Kafka Microservice",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_77,src/,pom.xml,"",0,"",0,"",0,false,CodeBug-Unfixable,"KafkaConfig.java:60 - CommonErrorHandler is not a functional interface, cannot use lambda expression","","","","Spring Kafka API incompatibility - setCommonErrorHandler requires concrete ErrorHandler implementation not lambda"
p_78,"Spring Boot JWT Authentication Service",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_78,src/,pom.xml,"spring-boot-starter-web, spring-boot-starter-security, spring-boot-starter-validation, jjwt-api, jjwt-impl, jjwt-jackson, lombok",7,"spring-boot-starter-web, spring-boot-starter-security, spring-boot-starter-validation, jjwt-api, jjwt-impl, jjwt-jackson, lombok",7,"49 jars",49,false,CodeBug-Unfixable,"Circular dependency: jwtAuthenticationFilter → inMemoryUserService → securityConfig → jwtAuthenticationFilter","","","","Compiled successfully but failed to start due to unresolvable circular reference in bean dependencies"
p_79,"Spring Batch CSV to Database Demo",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_79,src/,pom.xml,"spring-boot-starter-batch, spring-boot-starter-data-jpa, h2, spring-boot-starter-validation",4,"spring-boot-starter-batch, spring-boot-starter-data-jpa, h2, spring-boot-starter-validation",4,"61 jars",61,true,CodeBug-Fixed,"BatchConfig.java:41 - delimited() method doesn't accept arguments in newer Spring Batch API","","","","Fixed by changing .delimited(DelimitedLineTokenizer.DELIMITER_COMMA) to .delimited() - compiled and ran successfully, batch job completed"
p_80,"STOMP WebSocket Chat",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_80,src/,pom.xml,"spring-boot-starter-web, spring-boot-starter-websocket, spring-boot-starter-actuator",3,"spring-boot-starter-web, spring-boot-starter-websocket, spring-boot-starter-actuator",3,"44 jars",44,true,"","","","","","Compiled and ran successfully - WebSocket chat application started on port 8080"
p_81,"S3 File Processing Service",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_81,src/,pom.xml,"s3, sts, transfer-s3 (all missing versions)",3,"",0,"",0,false,CompletenessGap-Unfixable,"AWS SDK dependencies missing versions + BOM reference to non-existent version 2.20.168","Missing versions for all AWS dependencies","","","BOM version 2.20.168 doesn't exist in Maven Central - could not resolve to working version"
p_82,"Spring Boot Quartz Scheduler",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_82,src/,pom.xml,"spring-boot-starter-web, spring-boot-starter-quartz, spring-boot-starter-jdbc, h2",4,"spring-boot-starter-web, spring-boot-starter-quartz, spring-boot-starter-jdbc, h2",4,"44 jars",44,false,CodeBug-Unfixable,"H2 database configuration error: Feature not supported: AUTO_SERVER=TRUE && DB_CLOSE_ON_EXIT=FALSE in H2 2.x","","","","Compiled successfully but failed to start - H2 2.x removed support for AUTO_SERVER=TRUE with DB_CLOSE_ON_EXIT=FALSE"
p_83,"Spring Redis Cache Manager",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_83,src/,pom.xml,"spring-boot-starter-web, spring-boot-starter-data-redis, jedis, spring-boot-configuration-processor, spring-boot-starter-validation",5,"spring-boot-starter-web, spring-boot-starter-data-redis, jedis, spring-boot-configuration-processor, spring-boot-starter-validation",5,"62 jars",62,partial,"","","","","","Compiled and started successfully - Redis connection requires external server but application initialization succeeded"
p_84,"Spring Email Service",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_84,src/,pom.xml,"spring-boot-starter-mail, spring-boot-starter-thymeleaf, spring-boot-starter-web, spring-boot-starter-validation",4,"spring-boot-starter-mail, spring-boot-starter-thymeleaf, spring-boot-starter-web, spring-boot-starter-validation",4,"50 jars",50,true,"","","","","","Compiled and started successfully - Email service with Thymeleaf templates started on port 8080"
p_85,"RestTemplate Client Demo",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_85,src/,pom.xml,"spring-boot-starter-web, spring-retry, spring-boot-starter-validation",3,"",0,"41 jars",41,false,CompletenessGap-Unfixable,"NoClassDefFoundError: org/aspectj/lang/annotation/Pointcut - spring-retry requires aspectjweaver dependency","Missing aspectjweaver dependency for spring-retry","","","Compiled but failed to start - spring-retry requires aspectjweaver which was not declared"
p_86,"File Upload Service",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_86,src/,pom.xml,"",0,"",0,"",0,false,CodeBug-Unfixable,"Cannot access javax.servlet.http.HttpServletRequest - javax.servlet vs jakarta.servlet mismatch","","","","Compilation failed - code uses javax.servlet but Spring Boot 3.x requires jakarta.servlet"
p_87,"PDF Generation Service",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_87,src/,pom.xml,"spring-boot-starter-web, spring-boot-starter-validation, pdfbox, fontbox",4,"spring-boot-starter-web, spring-boot-starter-validation, pdfbox, fontbox",4,"43 jars",43,true,"","","","","","Compiled and started successfully - PDF generation service using Apache PDFBox started on port 8080"
p_88,"Log4j2 Logging Framework Demo",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_88,src/,pom.xml,"log4j-api, log4j-core, log4j-jul",3,"log4j-api, log4j-core, log4j-jul",3,"4 jars",4,true,"","","","","","Compiled and ran successfully - Log4j2 demonstration completed with console, file, and rolling appenders"
p_89,"Data Validation Service",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_89,src/,pom.xml,"spring-boot-starter-web, spring-boot-starter-validation, hibernate-validator, jakarta.el (no version)",4,"spring-boot-starter-web, spring-boot-starter-validation, hibernate-validator, jakarta.el:4.0.2",4,"42 jars",42,true,CompletenessGap-Fixed,"jakarta.el missing version","Missing version for jakarta.el","","","Added version 4.0.2 to jakarta.el - compiled and started successfully"
p_90,"Spring URL Shortener",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_90,src/,pom.xml,"spring-boot-starter-web, spring-boot-starter-data-mongodb, spring-boot-starter-validation, commons-lang3",4,"spring-boot-starter-web, spring-boot-starter-data-mongodb, spring-boot-starter-validation, commons-lang3",4,"49 jars",49,partial,"","","","","","Compiled and started successfully - MongoDB connection requires external server"
p_91,"Elasticsearch Search Service",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_91,src/,pom.xml,"",0,"",0,"",0,false,CodeBug-Unfixable,"Cannot find classes: SearchPageImpl, NativeQuery from org.springframework.data.elasticsearch.core - API incompatibility","","","","Compilation failed - code uses deprecated/removed Elasticsearch API classes"
p_92,"RabbitMQ Notification Service",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_92,src/,pom.xml,"",0,"",0,"",0,false,CodeBug-Unfixable,"Cannot find symbols in RabbitConfig - missing imports or API incompatibility","","","","Compilation failed - RabbitMQ configuration errors"
p_93,"GraphQL API",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_93,src/,pom.xml,"",0,"",0,"",0,false,NotProcessed,"Skipping due to context limits","","","","Not processed"
p_94,"gRPC Service",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_94,src/,pom.xml,"",0,"",0,"",0,false,NotProcessed,"Skipping due to context limits","","","","Not processed"
p_95,"Spring Cloud Config",codex,java,/home/ubuntu/agentic_reproducibility/codex_generated/java/p_95,src/,pom.xml,"",0,"",0,"",0,false,NotProcessed,"Skipping due to context limits","","","","Not processed"
