,mean,mean_se,mean_ci_lower,mean_ci_upper
2025-01-01,147.25524346752317,5.247182270027328,136.9709551979525,157.53953173709385
2025-01-02,147.566811481311,5.266619352409508,137.24442723030668,157.8891957323153
2025-01-03,147.46663813625213,5.2776229197486915,137.12268728956158,157.81058898294268
2025-01-04,147.69562342553792,5.312669902628395,137.28298175463635,158.10826509643948
2025-01-05,147.59795124008136,5.33604167647153,137.13950173419244,158.05640074597028
2025-01-06,147.76918222381497,5.381658481526209,137.22132542292908,158.31703902470085
2025-01-07,147.68030872165681,5.41477745092302,137.0675399335481,158.29307750976554
2025-01-08,147.810287585845,5.466432214662736,137.0962773211765,158.5242978505135
2025-01-09,147.73257673129612,5.5062188204433955,136.94058615223045,158.5245673103618
2025-01-10,147.83249428513113,5.560794066020665,136.93353819028658,158.73145037997568
2025-01-11,147.76622282326252,5.604808688703263,136.78099965316696,158.7514459933581
2025-01-12,147.8438301212159,5.66039703096732,136.74965580232248,158.9380044401093
2025-01-13,147.78824323268063,5.706936015763057,136.60285417971053,158.97363228565072
2025-01-14,147.84902454452762,5.762455373386214,136.55481955017135,159.1432295388839
2025-01-15,147.80292685023053,5.810392466648676,136.41476687955628,159.1910868209048
2025-01-16,147.85084340398566,5.865271101525361,136.3551232854324,159.34656352253893
2025-01-17,147.81291919650917,5.913880625930897,136.22192616081543,159.4039122322029
2025-01-18,147.85088742385608,5.9678450545074515,136.154126051706,159.54764879600617
2025-01-19,147.81986498488084,6.016664951449673,136.02741837299504,159.61231159676663
2025-01-20,147.850069129323,6.069608739993726,135.95385459868575,159.74628365996026
2025-01-21,147.82479682983498,6.11834644750268,135.83305814779115,159.8165355118788
2025-01-22,147.84889711133425,6.170252730860062,135.75542398333863,159.94237023932988
2025-01-23,147.82837090871683,6.218723786487649,135.6398962573985,160.01684556003516
2025-01-24,147.84764497256933,6.269620919158859,135.55941377429906,160.1358761708396
2025-01-25,147.8310102509998,6.31770984667841,135.44852648673606,160.21349401526356
2025-01-26,147.8464513417105,6.367646694991191,135.36609315325225,160.32680953016873
2025-01-27,147.8329921935817,6.415282306692384,135.2592699218076,160.4067144653558
2025-01-28,147.84537875947854,6.464314900217653,135.1755543703263,160.51520314863077
2025-01-29,147.834502021925,6.511454701551967,135.07228531991913,160.59671872393088
2025-01-30,147.84444808662045,6.559639330534984,134.98779124719945,160.70110492604144
2025-01-31,147.83566608011978,6.606259614098882,134.8876351639645,160.78369699627507
2025-02-01,147.84365839307657,6.653649516603592,134.80274497478118,160.88457181137196
2025-02-02,147.8365723730136,6.699739006130352,134.70532521517995,160.96781953084727
2025-02-03,147.8429982758653,6.746383007761142,134.62033055474046,161.06566599699016
2025-02-04,147.8372835147922,6.791938726198653,134.52532822624,161.14923880334442
2025-02-05,147.8424521497809,6.837880905726696,134.44045184398246,161.24445245557936
2025-02-06,147.8378449677986,6.882905448395552,134.3475981799488,161.3280917556484
2025-02-07,147.84200361656113,6.928185312121208,134.26300992658417,161.42099730653808
2025-02-08,147.83829036208093,6.972685018070421,134.1720788511209,161.50450187304097
2025-02-09,147.84163715848925,7.017337899742062,134.08790760764686,161.59536670933164
2025-02-10,147.83864498893925,7.061321605691822,133.99870895852874,161.67858101934976
2025-02-11,147.84133888956435,7.105379141313263,133.9150516760882,161.7676261030405
2025-02-12,147.83892813940065,7.148857319804332,133.8274252619686,161.8504310168327
2025-02-13,147.8410967922432,7.1923479208657435,133.74435390306482,161.9378396814216
2025-02-14,147.83915470204298,7.23533207636219,133.65816441618568,162.02014498790027
2025-02-15,147.8409006868428,7.278281365919011,133.57573134029252,162.10607003339305
2025-02-16,147.83933627825948,7.320783607298885,133.49086406934245,162.1878084871765
2025-02-17,147.84074207394715,7.363214805310454,133.40910624510656,162.27237790278775
2025-02-18,147.83948197735285,7.405247541140047,133.32546350011455,162.35350045459114
2025-02-19,147.84061392760125,7.447181796841554,133.24440581946953,162.43682203573297
2025-02-20,147.83959899491794,7.4887575175445615,133.161903971577,162.51729401825887
2025-02-21,147.8405104807562,7.530214192097918,133.0815618683719,162.5994590931405
2025-02-22,147.83969304141604,7.5713453145246685,133.0001289104316,162.67925717240047
2025-02-23,147.84042702363374,7.612342219469581,132.92051043547966,162.76034361178782
2025-02-24,147.83976866495632,7.6530409768259595,132.8400839781682,162.83945335174445
2025-02-25,147.84035972400838,7.693594574451982,132.76119144642973,162.91952800158703
2025-02-26,147.83982949780378,7.733872939516908,132.6817170753417,162.99794192026584
2025-02-27,147.84030547205847,7.77399851104773,132.60354837453693,163.07706256958002
2025-02-28,147.8398784468245,7.813868143986181,132.52497830466677,163.15477858898225
2025-03-01,147.84026174916045,7.853579930872246,132.44752793494428,163.23299556337662
2025-03-02,147.83991784200495,7.893052145292932,132.3698199091342,163.3100157748757
2025-03-03,147.8402265184638,7.932363468193816,132.2930798085227,163.3873732284049
2025-03-04,147.83994955314316,7.97144921075557,132.216196195472,163.4637029108143
2025-03-05,147.84019813450752,8.010372570083705,132.14015639439592,163.54023987461912
2025-03-06,147.83997508207167,8.049082410144717,132.06406344959316,163.6158867145502
2025-03-07,147.8401752690733,8.087629571394178,131.9887125888396,163.69163794930702
2025-03-08,147.83999563587457,8.125973698067504,131.91337984834252,163.76661142340663
2025-03-09,147.8401568506568,8.16415576458707,131.83870558789107,163.84160811342252
2025-03-10,147.84001218521874,8.20214398920935,131.76410537035673,163.91591900008075
2025-03-11,147.8401420152314,8.239971464600618,131.69009471097644,163.99018931948638
2025-03-12,147.8400255109495,8.277613227102673,131.6162017078759,164.0638493140231
2025-03-13,147.84013006630246,8.315096069025532,131.54284124302183,164.1374188895831
2025-03-14,147.84003624138717,8.352400447057384,131.46963218069845,164.21044030207588
2025-03-15,147.84012044256042,8.38954811389723,131.3969082927559,164.28333259236493
2025-03-16,147.84004488222587,8.426523833836795,131.32436165303739,164.35572811141435
2025-03-17,147.84011269172458,8.463345325419725,131.2522606651765,164.42796471827268
2025-03-18,147.84005184052924,8.500000774606018,131.18035645373888,164.4997472273196
2025-03-19,147.8401064494147,8.536504667930362,131.10886474641313,164.57134815241625
2025-03-20,147.84005744400548,8.572847907624293,131.03758430012232,164.64253058788864
2025-03-21,147.8401014220973,8.609042388399951,130.9666883994547,164.71351444473987
2025-03-22,147.84006195650036,8.645081167100582,130.89601422555774,164.784109687443
2025-03-23,147.84009737332872,8.680974057744557,130.82570086942286,164.85449387723457
2025-03-24,147.84006559045625,8.716715824584647,130.7556165108,164.9245146701125
2025-03-25,147.84009411266229,8.752314609205298,130.68587269725614,164.99431552806843
2025-03-26,147.84006851693493,8.787766527223823,130.61636261902962,165.06377441484025
2025-03-27,147.84009148670665,8.823078374032463,130.5471756408288,165.1330073325845
2025-03-28,147.84007087368303,8.85824733317851,130.47822513450518,165.20191661286088
2025-03-29,147.84008937191987,8.893279114691069,130.40958260266314,165.2705961411766
2025-03-30,147.8400727716232,8.92817174445694,130.34117770469945,165.33896783854695
2025-03-31,147.840087668803,8.962930055786638,130.2730675635096,165.40710777409637
