script,sciunit_dependencies,llm_dependencies,sciunit_count,llm_count,true_positives,false_positives,false_negatives,precision,recall,f1_score,common_dependencies,only_sciunit,only_llm
script_01,"blinker, certifi, charset_normalizer, click, flask, idna, itsdangerous, jinja2, markupsafe, numpy, numpy.libs, requests, simplejson, urllib3, werkzeug, zstandard","flask, numpy, redis, requests",16,4,3,1,13,0.75,0.1875,0.3,"flask, numpy, requests","blinker, certifi, charset_normalizer, click, idna, itsdangerous, jinja2, markupsafe, numpy.libs, simplejson, urllib3, werkzeug, zstandard",redis
script_02,"IPython, PIL, asttokens, bottleneck, cloudpickle, colorama, comm, cycler, dateutil, defusedxml, executing, ipywidgets, jedi, joblib, kiwisolver, lz4, matplotlib, mpl_toolkits, numexpr, numpy, numpy.libs, packaging, pandas, parso, patsy, pillow.libs, prompt_toolkit, psutil, pure_eval, pyarrow, pygments, pyparsing, pytz, scipy, scipy.libs, seaborn, sklearn, stack_data, statsmodels, traitlets, wcwidth","matplotlib, numpy, pandas, seaborn, sklearn, tensorflow",41,6,5,1,36,0.8333333333333334,0.12195121951219512,0.21276595744680848,"matplotlib, numpy, pandas, seaborn, sklearn","asttokens, bottleneck, cloudpickle, colorama, comm, cycler, dateutil, defusedxml, executing, ipython, ipywidgets, jedi, joblib, kiwisolver, lz4, mpl_toolkits, numexpr, numpy.libs, packaging, parso, patsy, pil, pillow.libs, prompt_toolkit, psutil, pure_eval, pyarrow, pygments, pyparsing, pytz, scipy, scipy.libs, stack_data, statsmodels, traitlets, wcwidth",tensorflow
script_03,"bs4, certifi, charset_normalizer, idna, requests, simplejson, soupsieve, urllib3, zstandard","bs4, redis, requests",9,3,2,1,7,0.6666666666666666,0.2222222222222222,0.3333333333333333,"bs4, requests","certifi, charset_normalizer, idna, simplejson, soupsieve, urllib3, zstandard",redis
script_04,"greenlet, psycopg2, psycopg2_binary.libs, sqlalchemy","multiprocessing, psycopg2, requests, sqlalchemy",4,4,2,2,2,0.5,0.5,0.5,"psycopg2, sqlalchemy","greenlet, psycopg2_binary.libs","multiprocessing, requests"
script_05,"aiohappyeyeballs, aiohttp, aiosignal, attr, frozenlist, idna, multidict, propcache, uvloop, yarl","aiohttp, asyncio, concurrent, concurrent.futures, flask, multiprocessing, queue, redis, requests, threading, uvloop",10,11,2,9,8,0.18181818181818182,0.2,0.1904761904761905,"aiohttp, uvloop","aiohappyeyeballs, aiosignal, attr, frozenlist, idna, multidict, propcache, yarl","asyncio, concurrent, concurrent.futures, flask, multiprocessing, queue, redis, requests, threading"
script_06,"PIL, cv2, cycler, dateutil, defusedxml, imageio, kiwisolver, lazy_loader, matplotlib, mpl_toolkits, numpy, numpy.libs, packaging, pillow.libs, pyparsing, scipy, scipy.libs, skimage","PIL, cv2, imageio, matplotlib, numpy, pillow, skimage",18,7,6,1,12,0.8571428571428571,0.3333333333333333,0.48,"cv2, imageio, matplotlib, numpy, pil, skimage","cycler, dateutil, defusedxml, kiwisolver, lazy_loader, mpl_toolkits, numpy.libs, packaging, pillow.libs, pyparsing, scipy, scipy.libs",pillow
script_07,,"nltk, requests, spacy, textblob, torch, transformers, wordcloud",0,7,0,7,0,0.0,0.0,0.0,,,"nltk, requests, spacy, textblob, torch, transformers, wordcloud"
script_08,PyQt5,"PyQt5, flask, psycopg2, redis, requests, tkinter",1,6,1,5,0,0.16666666666666666,1.0,0.2857142857142857,pyqt5,,"flask, psycopg2, redis, requests, tkinter"
script_09,,"base64, bcrypt, cryptography, hashlib, hmac, jwt, redis, secrets, ssl",0,9,0,9,0,0.0,0.0,0.0,,,"base64, bcrypt, cryptography, hashlib, hmac, jwt, redis, secrets, ssl"
script_10,,"numpy, scipy, sympy",0,3,0,3,0,0.0,0.0,0.0,,,"numpy, scipy, sympy"
