script,sciunit_dependencies,llm_dependencies,sciunit_count,llm_count,f1_score
script_01,"blinker, certifi, charset_normalizer, click, flask, idna, itsdangerous, jinja2, markupsafe, numpy, numpy.libs, requests, simplejson, urllib3, werkzeug, zstandard","flask, numpy, redis, requests",16,4,0.3
script_02,"IPython, PIL, asttokens, bottleneck, cloudpickle, colorama, comm, cycler, dateutil, defusedxml, executing, ipywidgets, jedi, joblib, kiwisolver, lz4, matplotlib, mpl_toolkits, numexpr, numpy, numpy.libs, packaging, pandas, parso, patsy, pillow.libs, prompt_toolkit, psutil, pure_eval, pyarrow, pygments, pyparsing, pytz, scipy, scipy.libs, seaborn, sklearn, stack_data, statsmodels, traitlets, wcwidth","matplotlib, numpy, pandas, seaborn, sklearn, tensorflow",41,6,0.21276595744680848
script_03,"bs4, certifi, charset_normalizer, idna, requests, simplejson, soupsieve, urllib3, zstandard","bs4, redis, requests",9,3,0.3333333333333333
script_04,"greenlet, psycopg2, psycopg2_binary.libs, sqlalchemy","multiprocessing, psycopg2, requests, sqlalchemy",4,4,0.5
script_05,"aiohappyeyeballs, aiohttp, aiosignal, attr, frozenlist, idna, multidict, propcache, uvloop, yarl","aiohttp, asyncio, concurrent, concurrent.futures, flask, multiprocessing, queue, redis, requests, threading, uvloop",10,11,0.1904761904761905
script_06,"PIL, cv2, cycler, dateutil, defusedxml, imageio, kiwisolver, lazy_loader, matplotlib, mpl_toolkits, numpy, numpy.libs, packaging, pillow.libs, pyparsing, scipy, scipy.libs, skimage","PIL, cv2, imageio, matplotlib, numpy, pillow, skimage",18,7,0.48
script_07,,"nltk, requests, spacy, textblob, torch, transformers, wordcloud",0,7,0.0
script_08,PyQt5,"PyQt5, flask, psycopg2, redis, requests, tkinter",1,6,0.2857142857142857
script_09,,"base64, bcrypt, cryptography, hashlib, hmac, jwt, redis, secrets, ssl",0,9,0.0
script_10,,"numpy, scipy, sympy",0,3,0.0
script_11,"llvmlite, munkres, numpy, numpy.libs, packaging, pkg_resources, platformdirs, pyarrow, pygame, pygame.libs, setuptools, zstandard","flask, pillow, pygame, redis, threading, uwsgi",12,6,0.1111111111111111
script_12,,"configparser, json, pillow, uwsgi",0,4,0.0
script_13,,"flask, ftplib, json, psycopg2, requests, smtplib",0,6,0.0
script_14,"iniconfig, pluggy, py, pygments, pytest","doctest, flask, multiprocessing, pytest, redis, requests, unittest",5,7,0.16666666666666666
script_15,,"codecs, difflib, string, unicodedata",0,4,0.0
script_16,"dateutil, pytz","calendar, dateutil, pytz",2,3,0.8
script_17,,"bs4, json, lxml, pymongo, redis, requests, xmltodict, yaml",0,8,0.0
script_18,"IPython, PIL, asttokens, bottleneck, cloudpickle, colorama, comm, cycler, dateutil, defusedxml, executing, ipywidgets, jedi, kiwisolver, matplotlib, mpl_toolkits, numexpr, numpy, numpy.libs, packaging, pandas, parso, patsy, pillow.libs, prompt_toolkit, pure_eval, pyarrow, pygments, pyparsing, pytz, scipy, scipy.libs, seaborn, stack_data, statsmodels, traitlets, wcwidth","bokeh, matplotlib, numpy, pandas, plotly, seaborn",37,6,0.18604651162790697
script_19,"bottleneck, cloudpickle, dateutil, joblib, lz4, numexpr, numpy, numpy.libs, pandas, psutil, pyarrow, pytz, scipy, scipy.libs, sklearn","numpy, sklearn, tensorflow, torch, xgboost",15,5,0.2
script_20,,"configparser, json, redis, uwsgi, yaml",0,5,0.0
script_21,,"imaplib, poplib, requests, smtplib, ssl",0,5,0.0
script_22,"psutil, serial","bs4, platform, psutil, pymongo, redis, serial",2,6,0.5
script_23,"PIL, bcrypt, cryptography, defusedxml, fontTools, fpdf, numpy, numpy.libs, pillow.libs, pypdf, reportlab","fpdf, pillow, pypdf, reportlab",11,4,0.39999999999999997
script_24,,"cv2, moviepy, numpy, pillow, pydub, redis, requests, wave",0,8,0.0
script_25,"aiohappyeyeballs, aiohttp, aiosignal, attr, bottleneck, branca, certifi, charset_normalizer, cloudpickle, dateutil, folium, frozenlist, geographiclib, geopy, idna, jinja2, markupsafe, multidict, numexpr, numpy, numpy.libs, pandas, propcache, pyarrow, pytz, requests, simplejson, urllib3, xyzservices, yarl, zstandard","folium, geopy, pillow, redis, requests",31,5,0.16666666666666666
script_26,"blinker, certifi, charset_normalizer, idna, oauthlib, requests, requests_oauthlib, simplejson, tweepy, urllib3, zstandard","facebook, instagram_basic_display, linkedin, redis, requests, requests_oauthlib, tweepy",11,7,0.33333333333333326
script_27,"certifi, charset_normalizer, ecdsa, gmpy2, idna, requests, simplejson, urllib3, zstandard","base58, binascii, ecdsa, hashlib, json, redis, requests, secp256k1, threading",9,9,0.2222222222222222
